instance_id,size,distribution,capacity_level,runs,feasible_runs,upper_bound_certified_runs,h2_best,h2_average,h2_worst,h2_runtime_mean_seconds,h2_runtime_sum_seconds,h2_time_to_best_mean_seconds,has_incumbent,optimality_certified,compact_incumbent,best_bound,relative_mip_gap,compact_runtime_seconds,compact_solver_seconds,termination_reason,known_optimum,best_gap_percent,average_gap_percent,worst_gap_percent,h2_vs_compact_incumbent_percent,compact_bound_gap_from_h2_percent
large_clustered_loose_001,large,clustered,loose,5,5,5,26.048475057197457,26.048475057197457,26.048475057197457,0.28501381999813014,1.4250690999906508,0.28501260000048206,True,True,26.0484750571975,26.0484750571975,0.0,0.8902289000106975,0.641,optimal,True,0.0,0.0,0.0,-1.636662570534091e-13,1.6366625705340935e-13
large_clustered_loose_002,large,clustered,loose,5,5,5,38.80618349891179,38.80618349891179,38.80618349891179,0.2920202600042103,1.4601013000210514,0.2920190400007413,True,True,38.80618349891181,38.80618349891181,0.0,0.9455166999978246,0.719,optimal,True,0.0,0.0,0.0,-3.662007812646791e-14,3.6620078126467925e-14
large_clustered_loose_003,large,clustered,loose,5,5,5,45.76191723531732,45.76191723531732,45.76191723531732,0.31522317999915683,1.5761158999957843,0.3152220399992075,True,True,45.7619172353173,45.7619172353173,0.0,0.9340130000055068,0.719,optimal,True,0.0,0.0,0.0,4.658083262375186e-14,-4.658083262375184e-14
large_clustered_loose_004,large,clustered,loose,5,5,5,28.60549619222015,28.60549619222015,28.60549619222015,0.29501316000241784,1.4750658000120893,0.2950118200009456,True,True,28.60549619222019,28.60549619222019,0.0,0.8986249000008684,0.64,optimal,True,0.0,0.0,0.0,-1.3661657956988707e-13,1.3661657956988725e-13
large_clustered_loose_005,large,clustered,loose,5,5,5,31.19059541449429,31.19059541449429,31.19059541449429,0.28879443999612703,1.4439721999806352,0.2887933399993926,True,True,31.1905954144943,31.1905954144943,0.0,0.8883354999998119,0.64,optimal,True,0.0,0.0,0.0,-3.41710085837241e-14,3.417100858372411e-14
large_clustered_medium_001,large,clustered,medium,5,5,5,16.041078030682854,16.041078030682854,16.041078030682854,0.2998184399941237,1.4990921999706186,0.2998170999984722,True,True,16.0410780306829,16.0410780306829,0.0,0.9488465000031284,0.703,optimal,True,0.0,0.0,0.0,-2.8791879034603956e-13,2.879187903460404e-13
large_clustered_medium_002,large,clustered,medium,5,5,5,28.982889053774784,28.982889053774784,28.982889053774784,0.2851719400001457,1.4258597000007283,0.2851707599998917,True,True,28.9828890537748,28.9828890537748,0.0,0.9715696000057504,0.703,optimal,True,0.0,0.0,0.0,-6.128984712684788e-14,6.128984712684792e-14
large_clustered_medium_003,large,clustered,medium,5,5,5,26.582509088647072,26.582509088647072,26.582509088647072,0.284858780002105,1.424293900010525,0.2848576200020033,True,True,26.5825090886471,26.5825090886471,0.0,1.022235800002818,0.781,optimal,True,0.0,0.0,0.0,-1.069188365011879e-13,1.0691883650118802e-13
large_clustered_medium_004,large,clustered,medium,5,5,5,25.62386730516617,25.62386730516617,25.62386730516617,0.285528940000222,1.42764470000111,0.28552745999768375,True,True,25.62386730516619,25.62386730516619,0.0,1.0226569000078598,0.6719999999999999,optimal,True,0.0,0.0,0.0,-8.318916820376015e-14,8.318916820376022e-14
large_clustered_medium_005,large,clustered,medium,5,5,5,34.03990694256856,34.03990694256856,34.03990694256856,0.2854863599990494,1.427431799995247,0.28548498000309336,True,True,34.03990694256861,34.03990694256861,0.0,1.7907712000014726,0.719,optimal,True,0.0,0.0,0.0,-1.461167082128746e-13,1.461167082128748e-13
large_clustered_tight_001,large,clustered,tight,5,5,0,32.047295135479146,32.047295135479146,32.047295135479146,8.52364182000456,42.618209100022796,2.9777592200029175,True,True,32.0472951354791,32.0472951354791,0.0,4.532117000009748,4.313000000000001,optimal,True,0.0,0.0,0.0,1.552018393219801e-13,-1.5520183932197987e-13
large_clustered_tight_002,large,clustered,tight,5,5,0,21.63785382605508,21.63785382605508,21.63785382605508,2.7548710800008847,13.774355400004424,0.29116595999512357,True,True,21.6378538260551,21.6378538260551,0.0,12.049973899993349,11.828,optimal,True,0.0,0.0,0.0,-9.851384635538633e-14,9.851384635538644e-14
large_clustered_tight_003,large,clustered,tight,5,5,0,25.54610234240812,25.54610234240812,25.54610234240812,4.733748440002091,23.668742200010456,2.2403009400033627,True,True,26.1584122048767,26.1584122048767,0.0,3.310656600006041,3.078,optimal,True,2.3407761054947707,2.3407761054947707,2.3407761054947707,-2.3407761054947707,2.396881740554641
large_clustered_tight_004,large,clustered,tight,5,5,0,26.3978535046586,26.3978535046586,26.3978535046586,2.4875889400020244,12.43794470001012,0.2827877999981865,True,True,26.3978535046586,26.3978535046586,0.0,3.692255100002512,3.438,optimal,True,0.0,0.0,0.0,0.0,0.0
large_clustered_tight_005,large,clustered,tight,5,5,0,20.97424917063245,20.97424917063245,20.97424917063245,8.622532379996846,43.11266189998423,1.5547401399962837,True,True,20.9742491706325,20.9742491706325,0.0,7.18332989999908,6.922000000000001,optimal,True,0.0,0.0,0.0,-2.3713836475657315e-13,2.371383647565737e-13
large_uniform_loose_001,large,uniform,loose,5,5,5,4.090032151290011,4.090032151290011,4.090032151290011,0.30074367999914103,1.5037183999957051,0.3007425000017974,True,True,4.090032151290009,4.090032151290009,0.0,1.0350902999925893,0.734,optimal,True,0.0,0.0,0.0,4.343136615295266e-14,-4.343136615295264e-14
large_uniform_loose_002,large,uniform,loose,5,5,5,5.350284029116609,5.350284029116609,5.350284029116609,0.31138140000111886,1.5569070000055942,0.3113800799997989,True,True,5.35028402911661,5.35028402911661,0.0,0.9440952000004472,0.703,optimal,True,0.0,0.0,0.0,-1.6600584471153268e-14,1.6600584471153268e-14
large_uniform_loose_003,large,uniform,loose,5,5,5,4.614403243806062,4.614403243806062,4.614403243806062,0.2905766400013817,1.4528832000069087,0.29057537999469785,True,True,4.61440324380606,4.61440324380606,0.0,1.00343850000354,0.734,optimal,True,0.0,0.0,0.0,3.8495916926737266e-14,-3.849591692673725e-14
large_uniform_loose_004,large,uniform,loose,5,5,5,4.180948532956265,4.180948532956265,4.180948532956265,0.28839529999822844,1.4419764999911422,0.28839414000103714,True,True,4.18094853295626,4.18094853295626,0.0,0.8853041999973357,0.656,optimal,True,0.0,0.0,0.0,1.0621733473864519e-13,-1.0621733473864508e-13
large_uniform_loose_005,large,uniform,loose,5,5,5,4.784797157765416,4.784797157765416,4.784797157765416,0.28921226000238676,1.4460613000119338,0.28921104000182823,True,True,4.78479715776542,4.78479715776542,0.0,0.8635081999964314,0.61,optimal,True,0.0,0.0,0.0,-7.425003739259195e-14,7.4250037392592e-14
large_uniform_medium_001,large,uniform,medium,5,5,5,4.107746580216419,4.107746580216419,4.107746580216419,0.2874788400047691,1.4373942000238455,0.28747762000130017,True,True,4.107746580216419,4.107746580216419,0.0,1.0028560000064315,0.765,optimal,True,0.0,0.0,0.0,0.0,0.0
large_uniform_medium_002,large,uniform,medium,5,5,5,5.52268862111695,5.52268862111695,5.52268862111695,0.2872610999969766,1.4363054999848828,0.28725982000178185,True,True,5.522688621116949,5.522688621116949,0.0,0.8586777000018628,0.609,optimal,True,0.0,0.0,0.0,3.216471109032012e-14,-3.216471109032011e-14
large_uniform_medium_003,large,uniform,medium,5,5,5,4.671188590909931,4.671188590909931,4.671188590909931,0.2854069799970603,1.4270348999853013,0.2854058599972632,True,True,4.671188590909931,4.671188590909931,0.0,1.056284999998752,0.781,optimal,True,0.0,0.0,0.0,0.0,0.0
large_uniform_medium_004,large,uniform,medium,5,5,5,4.911713540652531,4.911713540652531,4.911713540652531,0.2847330399963539,1.4236651999817695,0.28473177999840116,True,True,4.911713540652531,4.911713540652531,0.0,0.9460321999940788,0.719,optimal,True,0.0,0.0,0.0,0.0,0.0
large_uniform_medium_005,large,uniform,medium,5,5,5,4.744378976692025,4.744378976692025,4.744378976692025,0.2860428399959346,1.4302141999796731,0.2860416799987433,True,True,4.74437897669203,4.74437897669203,0.0,0.9614938000013352,0.718,optimal,True,0.0,0.0,0.0,-9.360323280070248e-14,9.360323280070256e-14
large_uniform_tight_001,large,uniform,tight,5,5,0,5.124447172750847,5.124447172750847,5.124447172750847,1.8504113199946004,9.252056599973002,0.2841942400002153,True,True,5.124447173363295,5.124447173363295,0.0,3.4839743000047747,3.234,optimal,True,0.0,0.0,0.0,-1.1951491536097853e-08,1.1951491537526233e-08
large_uniform_tight_002,large,uniform,tight,5,5,5,4.808393821863418,4.808393821863418,4.808393821863418,0.28362679999845564,1.4181339999922782,0.2836256799986586,True,True,4.808393821863419,4.808393821863419,0.0,2.116925900001661,1.875,optimal,True,0.0,0.0,0.0,-1.8471415874083404e-14,1.8471415874083407e-14
large_uniform_tight_003,large,uniform,tight,5,5,5,5.057174847086422,5.057174847086422,5.057174847086422,0.2873300799983553,1.4366503999917766,0.28732886000070723,True,True,5.05717484708642,5.05717484708642,0.0,1.274223799991887,1.016,optimal,True,0.0,0.0,0.0,3.512547802106663e-14,-3.5125478021066617e-14
large_uniform_tight_004,large,uniform,tight,5,5,5,4.522748729573378,4.522748729573378,4.522748729573378,0.28599274000152947,1.4299637000076473,0.28599150000081863,True,True,4.522748729573381,4.522748729573381,0.0,4.117566400003852,3.875,optimal,True,0.0,0.0,0.0,-7.855209058088927e-14,7.855209058088933e-14
large_uniform_tight_005,large,uniform,tight,5,5,0,4.5571892922829536,4.5571892922829536,4.5571892922829536,4.790524239998194,23.952621199990972,0.2850088599981973,True,True,4.55718929228295,4.55718929228295,0.0,9.384674699991592,9.157,optimal,True,0.0,0.0,0.0,7.795843997124704e-14,-7.795843997124697e-14
medium_clustered_loose_001,medium,clustered,loose,5,5,5,29.0897951268364,29.0897951268364,29.0897951268364,0.01993814000452398,0.0996907000226199,0.019936880006571258,True,True,29.08979512683639,29.08979512683639,0.0,0.4007044000027235,0.172,optimal,True,0.0,0.0,0.0,3.663876280300435e-14,-3.6638762803004333e-14
medium_clustered_loose_002,medium,clustered,loose,5,5,5,41.04987417905121,41.04987417905121,41.04987417905121,0.020123619999503663,0.1006180999975183,0.02012236000155096,True,True,41.0498741790512,41.0498741790512,0.0,0.38305269999546,0.156,optimal,True,0.0,0.0,0.0,1.7309254899560894e-14,-1.730925489956089e-14
medium_clustered_loose_003,medium,clustered,loose,5,5,5,24.50706329382464,24.50706329382464,24.50706329382464,0.019989259997964783,0.0999462999898239,0.01998802000016436,True,True,24.5070632938246,24.5070632938246,0.0,0.3791571999900043,0.156,optimal,True,0.0,0.0,0.0,1.5946362074583218e-13,-1.5946362074583193e-13
medium_clustered_loose_004,medium,clustered,loose,5,5,5,33.785215885450945,33.785215885450945,33.785215885450945,0.021032380001270178,0.1051619000063509,0.02103112000331746,True,True,33.7852158854509,33.7852158854509,0.0,0.3757054000016069,0.171,optimal,True,0.0,0.0,0.0,1.2618704077591846e-13,-1.261870407759183e-13
medium_clustered_loose_005,medium,clustered,loose,5,5,5,21.049423885027952,21.049423885027952,21.049423885027952,0.02056091999693304,0.10280459998466521,0.020559639998828018,True,True,21.049423885028,21.049423885028,0.0,0.438361900000018,0.172,optimal,True,0.0,0.0,0.0,-2.1941350070515281e-13,2.194135007051533e-13
medium_clustered_medium_001,medium,clustered,medium,5,5,5,20.0712446251356,20.0712446251356,20.0712446251356,0.020448379998560938,0.1022418999928047,0.0204471600009128,True,True,20.0712446251356,20.0712446251356,0.0,0.3930995999980951,0.187,optimal,True,0.0,0.0,0.0,0.0,0.0
medium_clustered_medium_002,medium,clustered,medium,5,5,5,40.9260725233852,40.9260725233852,40.9260725233852,0.01993931999604678,0.0996965999802339,0.019937960000242998,True,True,40.92607252338519,40.92607252338519,0.0,0.385460299992701,0.187,optimal,True,0.0,0.0,0.0,3.4723231033424745e-14,-3.472323103342473e-14
medium_clustered_medium_003,medium,clustered,medium,5,5,5,37.38871337975508,37.38871337975508,37.38871337975508,0.0199292400036938,0.099646200018469,0.019927920002373818,True,True,37.3887133797551,37.3887133797551,0.0,0.3588767999899573,0.156,optimal,True,0.0,0.0,0.0,-5.701261195135201e-14,5.701261195135204e-14
medium_clustered_medium_004,medium,clustered,medium,5,5,5,30.386374242347227,30.386374242347227,30.386374242347227,0.02037195999873796,0.1018597999936898,0.02037076000415252,True,True,30.38637424234719,30.38637424234719,0.0,0.3899769999989075,0.187,optimal,True,0.0,0.0,0.0,1.1691798601786957e-13,-1.1691798601786942e-13
medium_clustered_medium_005,medium,clustered,medium,5,5,0,20.7574249154709,20.7574249154709,20.7574249154709,0.0336099799984367,0.1680498999921835,0.02119862000399732,True,True,20.7574249154709,20.7574249154709,0.0,0.5188823999924352,0.312,optimal,True,0.0,0.0,0.0,0.0,0.0
medium_clustered_tight_001,medium,clustered,tight,5,5,5,28.907324862933784,28.907324862933784,28.907324862933784,0.0220660800026962,0.110330400013481,0.02206458000291596,True,True,28.9073248629338,28.9073248629338,0.0,0.3660400999942794,0.157,optimal,True,0.0,0.0,0.0,-6.145005972787093e-14,6.145005972787097e-14
medium_clustered_tight_002,medium,clustered,tight,5,5,0,25.20042250003229,25.20042250003229,25.20042250003229,0.0317688999988604,0.158844499994302,0.020232260006014198,True,True,25.2004225000323,25.2004225000323,0.0,0.5383788000035565,0.344,optimal,True,0.0,0.0,0.0,-4.2293501374383076e-14,4.2293501374383095e-14
medium_clustered_tight_003,medium,clustered,tight,5,5,5,20.96203576344169,20.96203576344169,20.96203576344169,0.02038045999943274,0.1019022999971637,0.02037916000117542,True,True,20.9620357634417,20.9620357634417,0.0,0.3339974999980768,0.141,optimal,True,0.0,0.0,0.0,-5.0844971150128266e-14,5.084497115012829e-14
medium_clustered_tight_004,medium,clustered,tight,5,5,0,20.79200969105441,20.79200969105441,20.79200969105441,2.172728260004078,10.86364130002039,1.4114337600010913,True,True,20.7920096910544,20.7920096910544,0.0,0.9795867999928304,0.782,optimal,True,0.0,0.0,0.0,5.126075446659245e-14,-5.126075446659242e-14
